movieId,title,genres,rating
13,Forrest Gump,"35, 18, 10749",8.47
916192,"The Tunnel to Summer, the Exit of Goodbyes","16, 18, 10749, 14",7.7
601796,Alienoid,"878, 28, 14, 12",6.8
324568,Delinquent in Drag,"16, 35, 28",4.0
792307,Poor Things,"878, 10749, 35",7.7
1164355,Lembayung,"27, 53",7.3
245891,John Wick,"28, 53",7.441
335977,Indiana Jones and the Dial of Destiny,"12, 28",6.583
335988,Transformers: The Last Knight,"28, 12, 878",6.055
1209770,Bedspacer,"53, 18",4.4
10198,The Princess and the Frog,"16, 10749, 14, 10751",7.216
72190,World War Z,"28, 27, 878, 53",6.82
11970,Hercules,"16, 10751, 14, 12, 35, 10749",7.502
827931,Time Cut,"27, 878, 53",5.66
39254,Real Steel,"28, 878, 18",7.036
929563,Big City Greens the Movie: Spacecation,"16, 10751, 35, 10402, 10770",7.5
988078,Through My Window: Across the Sea,"10749, 18, 35",6.5
713704,Evil Dead Rise,"27, 53",6.9
936245,Hidden Face,"9648, 53",6.2
1041613,Immaculate,"27, 9648, 53",6.252
209112,Batman v Superman: Dawn of Justice,"28, 12, 14",5.972
1001311,Under Paris,"28, 18, 27, 53",6.0
851644,20th Century Girl,"10749, 18",8.2
1210794,Trouble,"28, 35, 80",6.745
1096197,No Way Up,"53, 27, 28",6.351
271110,Captain America: Civil War,"12, 28, 878",7.445
1096197,No Way Up,"53, 27, 28",6.351
271110,Captain America: Civil War,"12, 28, 878",7.445
1365044,The Snow Sister,"14, 10751, 12, 18",7.581
956842,Fly Me to the Moon,"10749, 35",6.902
429617,Spider-Man: Far From Home,"28, 12, 878",7.421
348893,Boyka: Undisputed IV,"28, 18",7.157
10020,Beauty and the Beast,"10749, 10751, 16, 14",7.731
1255208,Bag of Lies,"27, 53",5.9
970347,The Killer,"28, 53, 80",6.508
1140648,Double Blind,"878, 27, 53",5.8
654028,The Christmas Chronicles: Part Two,"10751, 14, 12, 35",6.461
337404,Cruella,"35, 80, 10751, 12",8.007
345887,The Equalizer 2,"28, 53, 80",6.762
1177623,Rifle Club,"28, 53",7.0
613504,After We Collided,"10749, 18",7.174
324786,Hacksaw Ridge,"18, 36, 10752",8.196
1097549,Babygirl,18,0.0
1122504,Exorcism in Utero,27,6.158
1726,Iron Man,"28, 878, 12",7.648
387824,Mom's Friend,18,6.4
497,The Green Mile,"14, 18, 80",8.506
646097,Rebel Ridge,"80, 28, 53, 18",7.0
383498,Deadpool 2,"28, 35, 12",7.492
9502,Kung Fu Panda,"28, 12, 16, 10751, 35",7.294
19119,Night and the City,"18, 80",7.5
1298727,The Volunteers: The Battle of Life and Death,"18, 10752, 36",8.3
496450,"Miraculous: Ladybug & Cat Noir, The Movie","16, 14, 28, 10749, 10751",7.653
1244492,Look Back,"16, 18",7.946
1392501,Lamas,18,0.0
1930,The Amazing Spider-Man,"28, 12, 878",6.7
949484,Hounds of War,"28, 53",6.353
1127166,The Tearsmith,"10749, 18",6.513
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"16, 28, 14, 53",8.2
594767,Shazam! Fury of the Gods,"35, 28, 14",6.5
887321,Dreamin' Wild,"10402, 18",5.467
646385,Scream,"27, 9648, 53",6.67
76338,Thor: The Dark World,"28, 12, 14",6.522
5492,Gunner,"28, 53, 80",5.361
1117609,The Concierge,"16, 14",6.8
1059128,Queer,"18, 10749",6.6
244786,Whiplash,"18, 10402",8.379
744276,After Ever Happy,"10749, 18",6.798
1239251,Megamind vs. the Doom Syndicate,"16, 35, 878",4.847
1062807,SPY x FAMILY CODE: White,"16, 35, 12, 28",7.063
1210881,Snow Cookies,"35, 18, 10751",5.8
931944,The Devil's Bath,"27, 9648, 36",6.711
1290697,Kingmaker,"53, 18",6.8
